Date,Open,High,Low,Close,Adj Close,Volume
2019-06-25,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-06-26,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-06-27,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-06-28,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-07-01,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-07-02,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-07-03,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-07-05,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-07-08,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-07-09,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-07-10,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-07-11,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-07-12,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-07-15,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-07-16,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-07-17,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-07-18,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-07-19,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-07-22,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-07-23,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-07-24,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-07-25,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-07-26,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-07-29,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-07-30,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-07-31,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-08-01,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-08-02,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-08-05,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-08-06,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-08-07,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-08-08,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-08-09,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-08-12,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-08-13,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-08-14,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-08-15,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-08-16,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-08-19,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-08-20,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-08-21,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-08-22,12.150000,12.150000,12.150000,12.150000,38.412754,0
2019-08-23,9.044330,9.044330,9.044330,9.044330,28.594042,1796
2019-08-26,9.044330,9.044330,9.044330,9.044330,28.594042,0
2019-08-27,8.900000,9.190000,8.900000,9.190000,29.054586,396
2019-08-28,9.190000,9.190000,9.190000,9.190000,29.054586,0
2019-08-29,9.190000,9.190000,9.190000,9.190000,29.054586,0
2019-08-30,9.190000,9.190000,9.190000,9.190000,29.054586,0
2019-09-03,9.190000,9.190000,9.190000,9.190000,29.054586,0
2019-09-04,9.190000,9.190000,9.190000,9.190000,29.054586,0
2019-09-05,9.190000,9.190000,9.190000,9.190000,29.054586,0
2019-09-06,9.190000,9.190000,9.190000,9.190000,29.054586,0
2019-09-09,9.190000,9.190000,9.190000,9.190000,29.054586,0
2019-09-10,9.190000,9.190000,9.190000,9.190000,29.054586,0
2019-09-11,9.190000,9.190000,9.190000,9.190000,29.054586,0
2019-09-12,9.190000,9.190000,9.190000,9.190000,29.054586,0
2019-09-13,9.190000,9.190000,9.190000,9.190000,29.054586,0
2019-09-16,9.190000,9.190000,9.190000,9.190000,29.054586,0
2019-09-17,9.190000,9.190000,9.190000,9.190000,29.054586,0
2019-09-18,9.190000,9.190000,9.190000,9.190000,29.054586,0
2019-09-19,9.190000,9.190000,9.190000,9.190000,29.054586,0
2019-09-20,9.190000,9.190000,9.190000,9.190000,29.054586,0
2019-09-23,9.190000,9.190000,9.190000,9.190000,29.054586,0
2019-09-24,9.190000,9.190000,9.190000,9.190000,29.054586,0
2019-09-25,9.190000,9.190000,9.190000,9.190000,29.054586,0
2019-09-26,9.670000,9.670000,9.500000,9.500000,30.034664,6360
2019-09-27,9.500000,9.500000,9.500000,9.500000,-18.408342,0
2019-09-30,9.300000,9.300000,9.300000,9.300000,-18.020800,400
2019-10-01,9.300000,9.300000,9.300000,9.300000,-18.020800,0
2019-10-02,9.177660,9.177660,9.177660,9.177660,-17.783737,39188
2019-10-03,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-10-04,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-10-07,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-10-08,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-10-09,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-10-10,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-10-11,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-10-14,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-10-15,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-10-16,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-10-17,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-10-18,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-10-21,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-10-22,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-10-23,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-10-24,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-10-25,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-10-28,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-10-29,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-10-30,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-10-31,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-11-01,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-11-04,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-11-05,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-11-06,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-11-07,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-11-08,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-11-11,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-11-12,9.177660,9.177660,9.177660,9.177660,-17.783737,0
2019-11-13,9.400000,9.400000,9.400000,9.400000,-18.214571,12800
2019-11-14,9.400000,9.400000,9.400000,9.400000,-18.214571,0
2019-11-15,9.400000,9.400000,9.400000,9.400000,-18.214571,0
2019-11-18,9.400000,9.400000,9.400000,9.400000,-18.214571,0
2019-11-19,9.400000,9.400000,9.400000,9.400000,-18.214571,0
2019-11-20,9.400000,9.400000,9.400000,9.400000,-18.214571,0
2019-11-21,9.400000,9.400000,9.400000,9.400000,-18.214571,0
2019-11-22,9.400000,9.400000,9.400000,9.400000,-18.214571,0
2019-11-25,9.400000,9.400000,9.400000,9.400000,-18.214571,0
2019-11-26,9.500000,9.500000,9.500000,9.500000,-18.408342,439
2019-11-27,9.500000,9.500000,9.500000,9.500000,-18.408342,0
2019-11-29,9.500000,9.500000,9.500000,9.500000,-18.408342,0
