Major Funds: Performance

Name,Last,1 Week,1 Month,YTD,1 Year
"ICICI Prudential Liquid Plan Retail Weekly Dividen","118.917","-0.00%","-0.00%","0.07%","-0.02%"
"ICICI Prudential Liquid Plan Weekly Dividend Payou","100.222","-0.02%","0.04%","0.05%","-0.04%"
"Kotak Liquid-Plan A - Growth - Direct","4,059.895","0.06%","0.33%","2.50%","5.45%"
"Kotak Liquid-Plan A Daily Dividend Reinvestment Di","1,222.810","-0.00%","-0.00%","-0.00%","-0.00%"
"Reliance Liquid Fund - Treasury Plan - Direct Plan","4,911.038","0.07%","0.33%","2.66%","5.72%"
"Reliance Liquid Fund Treasury Plan Direct Plan Dai","1,528.740","0.00%","0.00%","0.00%","0.00%"
"Reliance Liquid Fund Treasury Plan Direct Plan Mon","1,587.871","-0.25%","0.02%","-0.08%","-0.13%"
"Reliance Liquid Fund Treasury Plan Direct Plan Qua","1,005.000","0.07%","-1.21%","-0.24%","-0.31%"
"Reliance Liquid Fund Treasury Plan Direct Plan Wee","1,530.588","-0.01%","0.02%","-0.04%","-0.02%"
"Reliance Liquid Fund Treasury Plan Quarterly Divid","1,003.281","0.07%","-1.15%","-0.20%","-0.27%"
"SBI Premier Liquid Fund Direct Plan Daily Dividend","1,014.530","0.06%","0.31%","1.12%","1.12%"
"SBI Premier Liquid Fund Direct Plan Fortnightly Di","1,026.874","0.06%","0.31%","1.44%","1.47%"
"SBI Premier Liquid Fund Direct Plan Growth","3,144.587","0.06%","0.31%","2.57%","5.55%"
"SBI Premier Liquid Fund Direct Plan Weekly Dividen","1,073.999","0.06%","0.31%","1.18%","1.20%"
"SBI Premier Liquid Fund Institutional Daily Divide","1,014.728","0.06%","0.31%","1.14%","1.14%"
"SBI Premier Liquid Fund Institutional Fortnightly","1,038.123","0.06%","0.31%","1.42%","1.44%"
"SBI Premier Liquid Fund Institutional Growth","3,157.936","0.06%","0.31%","2.53%","5.48%"
"SBI Premier Liquid Fund Institutional Weekly Divid","1,500.000","0.00%","0.00%","0.00%","41.44%"
"SBI Premier Liquid Fund Regular Plan Daily Dividen","1,014.524","0.06%","0.31%","1.12%","1.12%"
"SBI Premier Liquid Fund Regular Plan Fortnightly D","1,026.680","0.06%","0.31%","1.43%","1.45%"
"SBI Premier Liquid Fund Regular Plan Growth","3,128.394","0.06%","0.31%","2.53%","5.47%"
"SBI Premier Liquid Fund Regular Plan Weekly Divide","1,073.786","0.06%","0.31%","1.16%","1.18%"
