"Date","Open","High","Low","Close"
"30 Jun 2020","2180.41","2185.63","2180.41","2183.95"
"29 Jun 2020","2179.09","2182.86","2179.09","2180.03"
"26 Jun 2020","2179.37","2181.99","2177.42","2177.98"
"25 Jun 2020","2175.61","2179.24","2175.61","2178.99"
"24 Jun 2020","2176.49","2179.00","2174.76","2175.23"
"23 Jun 2020","2179.52","2179.59","2176.10","2176.11"
"22 Jun 2020","2180.43","2182.09","2178.66","2179.14"
"19 Jun 2020","2181.19","2181.81","2179.12","2179.32"
"18 Jun 2020","2175.66","2181.06","2174.94","2180.81"
"17 Jun 2020","2172.39","2175.28","2171.81","2175.28"
"16 Jun 2020","2179.31","2179.67","2170.73","2172.01"
"15 Jun 2020","2178.35","2181.28","2178.13","2178.93"
"12 Jun 2020","2178.49","2179.02","2175.50","2177.24"
"11 Jun 2020","2179.49","2182.15","2178.11","2178.11"
"10 Jun 2020","2178.90","2181.01","2178.49","2179.11"
"09 Jun 2020","2175.03","2178.76","2175.03","2178.52"
"08 Jun 2020","2174.36","2175.65","2173.13","2174.66"
"05 Jun 2020","2174.72","2174.72","2169.66","2173.26"
"04 Jun 2020","2172.82","2174.63","2171.35","2174.34"
"03 Jun 2020","2176.14","2176.43","2171.97","2172.44"
"02 Jun 2020","2169.30","2175.81","2166.08","2175.76"
"01 Jun 2020","2174.72","2174.72","2168.92","2168.93"
"29 May 2020","2177.34","2179.01","2172.20","2173.98"
"28 May 2020","2176.96","2177.53","2175.93","2176.96"
"27 May 2020","2178.03","2179.70","2176.22","2176.58"
"26 May 2020","2178.96","2180.02","2176.56","2177.65"
"22 May 2020","2167.26","2188.21","2167.26","2177.49"
"21 May 2020","2165.16","2167.10","2163.91","2166.88"
"20 May 2020","2165.17","2166.57","2163.96","2164.78"
"19 May 2020","2162.19","2165.01","2162.19","2164.79"
"18 May 2020","2158.08","2162.23","2158.08","2161.81"
"15 May 2020","2158.88","2161.27","2154.29","2156.97"
"14 May 2020","2153.13","2165.31","2153.13","2158.49"
"13 May 2020","2144.06","2154.05","2139.77","2152.75"
"12 May 2020","2143.09","2146.03","2138.40","2143.67"
"11 May 2020","2167.62","2167.62","2134.15","2142.71"
"08 May 2020","2158.34","2166.58","2157.68","2166.51"
"07 May 2020","2158.34","2158.34","2158.34","2157.95"
"06 May 2020","2149.36","2157.60","2149.36","2157.59"
"05 May 2020","2143.01","2149.27","2143.01","2148.98"
"04 May 2020","2137.68","2144.61","2135.91","2142.62"
"30 Apr 2020","2134.17","2136.76","2132.08","2136.19"
"29 Apr 2020","2132.78","2134.57","2131.89","2133.79"
"28 Apr 2020","2130.64","2135.24","2130.64","2132.39"
"27 Apr 2020","2128.89","2134.29","2127.10","2130.25"
"24 Apr 2020","2144.17","2144.17","2127.16","2127.77"
"23 Apr 2020","2119.20","2119.20","2119.20","2143.78"
"22 Apr 2020","2120.61","2120.61","2120.61","2118.82"
"21 Apr 2020","2119.72","2119.72","2119.72","2120.23"
"20 Apr 2020","2101.22","2101.22","2101.22","2119.34"
"17 Apr 2020","2085.48","2085.48","2085.48","2100.09"
"16 Apr 2020","2083.23","2083.23","2083.23","2085.10"
"15 Apr 2020","2073.66","2073.66","2073.66","2082.85"
"13 Apr 2020","2072.28","2072.28","2072.28","2072.90"
"09 Apr 2020","2073.28","2073.28","2073.28","2070.76"
"08 Apr 2020","2081.47","2082.32","2077.88","2072.90"
"07 Apr 2020","2094.82","2094.82","2094.82","2081.09"
"03 Apr 2020","2108.81","2108.81","2093.95","2093.32"
"01 Apr 2020","2108.81","2108.81","2108.81","2108.06"
"31 Mar 2020","2097.60","2113.04","2097.60","2107.69"
"30 Mar 2020","2107.27","2108.75","2102.03","2097.22"
"27 Mar 2020","2089.44","2119.37","2089.44","2106.54"
"26 Mar 2020","2080.18","2087.47","2077.55","2089.06"
"25 Mar 2020","2080.18","2080.18","2080.18","2079.80"
"24 Mar 2020","2070.04","2078.65","2070.04","2079.43"
"23 Mar 2020","2088.35","2088.35","2081.58","2069.66"
"20 Mar 2020","2064.15","2077.42","2064.15","2087.23"
"19 Mar 2020","2083.71","2083.71","2067.83","2063.77"
"18 Mar 2020","2088.72","2090.07","2079.18","2083.33"
"17 Mar 2020","2096.43","2096.52","2091.80","2088.34"
"16 Mar 2020","2081.64","2101.48","2081.64","2096.05"
"13 Mar 2020","2095.67","2095.67","2083.96","2080.51"
"12 Mar 2020","2111.60","2111.60","2100.55","2095.29"
"11 Mar 2020","2119.02","2119.02","2108.56","2111.22"
"09 Mar 2020","2103.96","2123.58","2103.96","2118.28"
"06 Mar 2020","2096.88","2106.28","2096.88","2102.85"
