,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-01-30,-311.12578475221636,-4970.213567227335,4071.336251583321,-311.12578475221636,-311.12578475221636,-112.75157730242707,-112.75157730242707,-112.75157730242707,-112.75157730242707,-112.75157730242707,-112.75157730242707,0.0,0.0,0.0,-423.8773620546434
1,2020-01-31,-298.7451242286503,-4899.649552339756,4366.402101652105,-298.7451242286503,-298.7451242286503,-246.09263879972517,-246.09263879972517,-246.09263879972517,-246.09263879972517,-246.09263879972517,-246.09263879972517,0.0,0.0,0.0,-544.8377630283754
2,2020-02-01,-286.36446370508423,-4972.03673228613,4491.587723925685,-286.36446370508423,-286.36446370508423,39.941077791607924,39.941077791607924,39.941077791607924,39.941077791607924,39.941077791607924,39.941077791607924,0.0,0.0,0.0,-246.4233859134763
3,2020-02-02,-273.9838031815182,-4394.545217142226,4700.126557336689,-273.9838031815182,-273.9838031815182,626.8201420812072,626.8201420812072,626.8201420812072,626.8201420812072,626.8201420812072,626.8201420812072,0.0,0.0,0.0,352.836338899689
4,2020-02-03,-261.60314265795216,-4877.337831687772,4556.1278349179,-261.60314265795216,-261.60314265795216,-61.02159319726367,-61.02159319726367,-61.02159319726367,-61.02159319726367,-61.02159319726367,-61.02159319726367,0.0,0.0,0.0,-322.6247358552158
5,2020-02-04,-249.2224821343861,-4982.558233881857,4312.79396095848,-249.2224821343861,-249.2224821343861,-88.86787720708712,-88.86787720708712,-88.86787720708712,-88.86787720708712,-88.86787720708712,-88.86787720708712,0.0,0.0,0.0,-338.09035934147323
6,2020-02-05,-236.8418144496077,-4913.850665609277,4333.32057381524,-236.8418144496077,-236.8418144496077,-158.0275333645001,-158.0275333645001,-158.0275333645001,-158.0275333645001,-158.0275333645001,-158.0275333645001,0.0,0.0,0.0,-394.8693478141078
7,2020-02-06,-224.46114676482927,-4747.629577358282,4166.527467798739,-224.46114676482927,-224.46114676482927,-112.75157730292997,-112.75157730292997,-112.75157730292997,-112.75157730292997,-112.75157730292997,-112.75157730292997,0.0,0.0,0.0,-337.21272406775927
8,2020-02-07,-212.08047908005088,-5230.429935807589,4217.318318530654,-212.08047908005088,-212.08047908005088,-246.0926388004718,-246.0926388004718,-246.0926388004718,-246.0926388004718,-246.0926388004718,-246.0926388004718,0.0,0.0,0.0,-458.1731178805227
9,2020-02-08,-199.69981139527246,-4890.501556184506,4158.185012366159,-199.69981139527246,-199.69981139527246,39.94107779100885,39.94107779100885,39.94107779100885,39.94107779100885,39.94107779100885,39.94107779100885,0.0,0.0,0.0,-159.75873360426363
10,2020-02-09,-187.31914371049407,-3957.6547775916947,4999.436086142412,-187.31914371049407,-187.31914371049407,626.8201420812678,626.8201420812678,626.8201420812678,626.8201420812678,626.8201420812678,626.8201420812678,0.0,0.0,0.0,439.50099837077374
11,2020-02-10,-174.93852291978928,-5103.2868435161445,4249.174798245204,-174.93852291978928,-174.93852291978928,-61.021593197706416,-61.021593197706416,-61.021593197706416,-61.021593197706416,-61.021593197706416,-61.021593197706416,0.0,0.0,0.0,-235.9601161174957
12,2020-02-11,-162.5579021290845,-4769.012862310247,4352.642926672116,-162.55790212908448,-162.55790212908448,-88.86787720719093,-88.86787720719093,-88.86787720719093,-88.86787720719093,-88.86787720719093,-88.86787720719093,0.0,0.0,0.0,-251.42577933627544
13,2020-02-12,-150.1772813383797,-5151.297835112869,4282.892313876518,-150.1772813383797,-150.1772813383797,-158.027533365094,-158.027533365094,-158.027533365094,-158.027533365094,-158.027533365094,-158.027533365094,0.0,0.0,0.0,-308.2048147034737
14,2020-02-13,-137.7966605476749,-4886.24498822567,4364.496471971973,-137.7966605476749,-137.7966605476749,-112.75157730226576,-112.75157730226576,-112.75157730226576,-112.75157730226576,-112.75157730226576,-112.75157730226576,0.0,0.0,0.0,-250.54823784994065
15,2020-02-14,-125.41603975697011,-5076.049666341204,3701.750995155405,-125.41603975697011,-125.41603975697011,-246.09263880013694,-246.09263880013694,-246.09263880013694,-246.09263880013694,-246.09263880013694,-246.09263880013694,0.0,0.0,0.0,-371.50867855710703
16,2020-02-15,-113.03541896626527,-4816.897355537693,4639.698680479498,-113.03541896626527,-113.03541896626527,39.94107779209662,39.94107779209662,39.94107779209662,39.94107779209662,39.94107779209662,39.94107779209662,0.0,0.0,0.0,-73.09434117416865
17,2020-02-16,-100.65486852346739,-4138.222816741663,5268.382094891967,-100.65486852346739,-100.65486852346739,626.82014208089,626.82014208089,626.82014208089,626.82014208089,626.82014208089,626.82014208089,0.0,0.0,0.0,526.1652735574227
18,2020-02-17,-88.27431808066945,-4475.683732814384,4250.143636445678,-88.27431808066945,-88.27431808066945,-61.02159319804213,-61.02159319804213,-61.02159319804213,-61.02159319804213,-61.02159319804213,-61.02159319804213,0.0,0.0,0.0,-149.29591127871157
19,2020-02-18,-75.89376763787153,-4569.893692149376,4222.4754516478315,-75.89376763787153,-75.89376763787153,-88.86787720678181,-88.86787720678181,-88.86787720678181,-88.86787720678181,-88.86787720678181,-88.86787720678181,0.0,0.0,0.0,-164.76164484465335
20,2020-02-19,-63.513217195073615,-4802.702332200749,4360.7308161315395,-63.513217195073615,-63.513217195073615,-158.02753336386755,-158.02753336386755,-158.02753336386755,-158.02753336386755,-158.02753336386755,-158.02753336386755,0.0,0.0,0.0,-221.54075055894117
21,2020-02-20,-51.13266675227567,-4727.027911776397,4281.199136296015,-51.13266675227567,-51.13266675227567,-112.75157730270682,-112.75157730270682,-112.75157730270682,-112.75157730270682,-112.75157730270682,-112.75157730270682,0.0,0.0,0.0,-163.8842440549825
22,2020-02-21,-38.75212278715609,-4739.718797633555,4435.802530193163,-38.75212278715609,-38.75212278715609,-246.0926387998021,-246.0926387998021,-246.0926387998021,-246.0926387998021,-246.0926387998021,-246.0926387998021,0.0,0.0,0.0,-284.8447615869582
23,2020-02-22,-26.3715788220365,-4355.301688415124,4529.615269003591,-26.3715788220365,-26.3715788220365,39.94107778993789,39.94107778993789,39.94107778993789,39.94107778993789,39.94107778993789,39.94107778993789,0.0,0.0,0.0,13.569498967901392
24,2020-02-23,-13.991034856916983,-3903.903714863027,5240.9266876523225,-13.991034856916983,-13.991034856916983,626.8201420813889,626.8201420813889,626.8201420813889,626.8201420813889,626.8201420813889,626.8201420813889,0.0,0.0,0.0,612.829107224472
25,2020-02-24,-1.6104908917974314,-4659.2274200456795,4274.535645521825,-1.6104908917974314,-1.6104908917974314,-61.0215931984849,-61.0215931984849,-61.0215931984849,-61.0215931984849,-61.0215931984849,-61.0215931984849,0.0,0.0,0.0,-62.63208409028233
26,2020-02-25,10.770053073322186,-4782.317805506641,4374.981221718061,10.770053073322186,10.770053073322186,-88.86787720744236,-88.86787720744236,-88.86787720744236,-88.86787720744236,-88.86787720744236,-88.86787720744236,0.0,0.0,0.0,-78.09782413412017
27,2020-02-26,23.15175092849542,-4708.426947742939,4391.969033299921,23.15175092849542,23.15175092849542,-158.02753336446148,-158.02753336446148,-158.02753336446148,-158.02753336446148,-158.02753336446148,-158.02753336446148,0.0,0.0,0.0,-134.87578243596604
28,2020-02-27,35.53344878366865,-4989.5666003469005,4394.910783049483,35.53344878366865,35.53344878366865,-112.75157730099917,-112.75157730099917,-112.75157730099917,-112.75157730099917,-112.75157730099917,-112.75157730099917,0.0,0.0,0.0,-77.21812851733051
29,2020-02-28,47.915146638841826,-4747.254393180909,4819.736641403337,47.915146638841826,47.915146638841826,-246.0926387994673,-246.0926387994673,-246.0926387994673,-246.0926387994673,-246.0926387994673,-246.0926387994673,0.0,0.0,0.0,-198.17749216062546
30,2020-02-29,60.296844494015126,-4453.8087526756335,4875.194067078183,60.296844494015126,60.296844494015126,39.941077791025656,39.941077791025656,39.941077791025656,39.941077791025656,39.941077791025656,39.941077791025656,0.0,0.0,0.0,100.23792228504078
31,2020-03-01,72.67854234918836,-3728.734900708645,5706.030205475423,72.67854234918836,72.67854234918836,626.8201420812271,626.8201420812271,626.8201420812271,626.8201420812271,626.8201420812271,626.8201420812271,0.0,0.0,0.0,699.4986844304154
32,2020-03-02,85.0602598032663,-4458.028592837276,4994.3876170066715,85.0602598032663,85.0602598032663,-61.02159319887409,-61.02159319887409,-61.02159319887409,-61.02159319887409,-61.02159319887409,-61.02159319887409,0.0,0.0,0.0,24.038666604392212
33,2020-03-03,97.44197725734432,-4363.840126182798,4390.488072374456,97.44197725734432,97.44197725734432,-88.86787720703329,-88.86787720703329,-88.86787720703329,-88.86787720703329,-88.86787720703329,-88.86787720703329,0.0,0.0,0.0,8.574100050311031
34,2020-03-04,109.8236947114222,-4619.83441132139,4433.023352203628,109.8236947114222,109.8236947114222,-158.0275333647459,-158.0275333647459,-158.0275333647459,-158.0275333647459,-158.0275333647459,-158.0275333647459,0.0,0.0,0.0,-48.203838653323686
35,2020-03-05,122.20541216550022,-4526.652902182568,4382.570489385326,122.20541216550022,122.20541216550022,-112.75157730254551,-112.75157730254551,-112.75157730254551,-112.75157730254551,-112.75157730254551,-112.75157730254551,0.0,0.0,0.0,9.453834862954707
36,2020-03-06,134.58712961957818,-4894.025723576602,4339.506392134816,134.58712961957818,134.58712961957818,-246.09263880021388,-246.09263880021388,-246.09263880021388,-246.09263880021388,-246.09263880021388,-246.09263880021388,0.0,0.0,0.0,-111.5055091806357
37,2020-03-07,146.96884707365618,-4293.6992029351995,4868.807379188684,146.96884707365618,146.96884707365618,39.94107779042656,39.94107779042656,39.94107779042656,39.94107779042656,39.94107779042656,39.94107779042656,0.0,0.0,0.0,186.90992486408274
38,2020-03-08,159.3605410534206,-4065.724312874625,5479.704982673449,159.3605410534206,159.3605410534206,626.8201420808492,626.8201420808492,626.8201420808492,626.8201420808492,626.8201420808492,626.8201420808492,0.0,0.0,0.0,786.1806831342699
39,2020-03-09,171.75223503318495,-4293.755070014962,4977.9179735142025,171.75223503318495,171.75223503318495,-61.02159319705255,-61.02159319705255,-61.02159319705255,-61.02159319705255,-61.02159319705255,-61.02159319705255,0.0,0.0,0.0,110.73064183613239
40,2020-03-10,184.14392901294937,-4456.830378161413,4781.909694446883,184.14392901294937,184.14392901294937,-88.867877207159,-88.867877207159,-88.867877207159,-88.867877207159,-88.867877207159,-88.867877207159,0.0,0.0,0.0,95.27605180579037
